#times 	                 Deltas 	         FWHM 	         Z 	         g 	                 trace 
2456739.4958764710 	 0.00000000000 	  	 3.2534863358 	 1.2460000000 	 -225.9500000000 	 413.9414082314 	 
2456739.4978324785 	 -0.1521677589 	  	 3.5722511532 	 1.2380000000 	 -224.8150000000 	 414.0316911298 	 
2456739.5008069985 	 -0.1732727128 	  	 3.8542887433 	 1.2270000000 	 -223.0700000000 	 414.0941402926 	 
2456739.5040245727 	 -0.1993950143 	  	 4.6025727240 	 1.2150000000 	 -221.1700000000 	 413.9079884125 	 
2456739.5047421614 	 -0.2260485295 	  	 5.1280684333 	 1.2130000000 	 -220.7400000000 	 413.9158910329 	 
2456739.5054481761 	 -0.2497288768 	  	 5.2429164591 	 1.2100000000 	 -220.3100000000 	 414.0546879500 	 
2456739.5061657643 	 -0.2685206684 	  	 4.6312476063 	 1.2080000000 	 -219.8800000000 	 413.9531250214 	 
2456739.5068833530 	 -0.2820342162 	  	 3.7881652653 	 1.2050000000 	 -219.4500000000 	 413.9974880121 	 
2456739.5075893672 	 -0.2909189375 	  	 4.1836060708 	 1.2030000000 	 -219.0200000000 	 413.9416829032 	 
2456739.5083069559 	 -0.2962852731 	  	 3.8138487163 	 1.2010000000 	 -218.5900000000 	 413.8527722203
2456739.5090245442 	 -0.2992649797 	  	 3.8360592655 	 1.1980000000 	 -218.1500000000 	 413.8613501002
2456739.5097421329 	 -0.3007791747 	  	 3.5922174057 	 1.1960000000 	 -217.7100000000 	 413.9137419579
2456739.5104597211 	 -0.3014732954 	  	 3.4300185264 	 1.1940000000 	 -217.2700000000 	 413.9838828577
2456739.5111773098 	 -0.3017429367 	  	 3.4066239271 	 1.1910000000 	 -216.8250000000 	 413.8666690503
2456739.5118948980 	 -0.3018034629 	  	 3.1783539052 	 1.1890000000 	 -216.3850000000 	 413.9764088819
2456739.5126124867 	 -0.3017707699 	  	 3.1922109289 	 1.1870000000 	 -215.9400000000 	 413.8811513065
2456739.5133300750 	 -0.3017369194 	  	 3.1533182995 	 1.1840000000 	 -215.5000000000 	 413.8273847199
2456739.5140360896 	 -0.3018284467 	  	 3.2848951212 	 1.1820000000 	 -215.0550000000 	 413.9949890121
2456739.5147536779 	 -0.3022223943 	  	 3.2628007307 	 1.1800000000 	 -214.6050000000 	 413.9027859707
2456739.5154712666 	 -0.3031214823 	  	 3.3932326411 	 1.1780000000 	 -214.1550000000 	 413.7471313865
2456739.5161772808 	 -0.3046946961 	  	 3.3705542213 	 1.1760000000 	 -213.7050000000 	 413.9813820992
2456739.5169180175 	 -0.3070162681 	  	 3.3417251303 	 1.1730000000 	 -213.2350000000 	 413.7669682412
2456739.5176356058 	 -0.3100308805 	  	 3.2670018198 	 1.1710000000 	 -212.7850000000 	 413.7490621037
2456739.5183531940 	 -0.3135647237 	  	 3.3228390998 	 1.1690000000 	 -212.3250000000 	 413.8736163052
2456739.5190592087 	 -0.3173938343 	  	 3.1893410668 	 1.1670000000 	 -211.8700000000 	 413.8551020686
2456739.5197767969 	 -0.3213359145 	  	 3.0357470542 	 1.1650000000 	 -211.4100000000 	 413.8428652915
2456739.5204943856 	 -0.3253239774 	  	 2.9233251027 	 1.1630000000 	 -210.9500000000 	 413.7656246076
2456739.5212003998 	 -0.3294171700 	  	 3.0498260936 	 1.1610000000 	 -210.4850000000 	 413.8930835263
2456739.5219179885 	 -0.3337260903 	  	 2.9683674850 	 1.1590000000 	 -210.0300000000 	 413.8268994482
2456739.5226355768 	 -0.3382754683 	  	 3.0700422428 	 1.1570000000 	 -209.5600000000 	 413.8902826154
2456739.5233531650 	 -0.3428701735 	  	 3.0088783250 	 1.1550000000 	 -209.0800000000 	 413.8076052530
2456739.5240707537 	 -0.3470512615 	  	 3.0314624816 	 1.1530000000 	 -208.6100000000 	 413.8038160074
2456739.5247883420 	 -0.3502032304 	  	 3.0634497464 	 1.1510000000 	 -208.1350000000 	 413.8571467766
2456739.5255059307 	 -0.3517965937 	  	 2.9647801832 	 1.1490000000 	 -207.6600000000 	 413.8819822928
2456739.5262235189 	 -0.3516715387 	  	 2.9119104332 	 1.1470000000 	 -207.1850000000 	 413.8908507611
2456739.5269411071 	 -0.3502080694 	  	 2.9095813838 	 1.1460000000 	 -206.7050000000 	 413.8100513273
2456739.5276471218 	 -0.3482601492 	  	 2.9610327977 	 1.1440000000 	 -206.2200000000 	 413.8466849939
2456739.5283647100 	 -0.3468612954 	  	 3.1555296171 	 1.1420000000 	 -205.7350000000 	 413.7733499820
2456739.5290822983 	 -0.3468337541 	  	 3.3690069119 	 1.1400000000 	 -205.2550000000 	 413.8552728209
2456739.5297883130 	 -0.3485114344 	  	 3.2337078672 	 1.1380000000 	 -204.7650000000 	 413.7798515624
2456739.5305059012 	 -0.3517225137 	  	 2.9443837754 	 1.1370000000 	 -204.2750000000 	 413.7831741371
2456739.5312234894 	 -0.3560108460 	  	 3.3482076077 	 1.1350000000 	 -203.7850000000 	 413.7320501412
2456739.5319410781 	 -0.3609426868 	  	 3.4077752850 	 1.1330000000 	 -203.2900000000 	 413.8608951149
2456739.5326470924 	 -0.3662984204 	  	 2.9761394086 	 1.1320000000 	 -202.7900000000 	 413.8511801974
2456739.5333646806 	 -0.3720711695 	  	 2.9115506828 	 1.1300000000 	 -202.2950000000 	 413.7102278539
2456739.5340822693 	 -0.3783232300 	  	 2.9782457834 	 1.1280000000 	 -201.7900000000 	 413.8081601838
2456739.5347882835 	 -0.3850535145 	  	 2.9475456415 	 1.1270000000 	 -201.2900000000 	 413.8912551122
